,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
4324215,2.01506202332e+13,-77.39436,39.29573,KDCA,Y1,38,328,0,90,0.5
4324279,2.01506202332e+13,-77.0068,38.97298,KDIX,N3,134,245,-999,-999,-999.0
4324341,2.01506202333e+13,-76.98547,38.98527,KDOX,J3,73,278,10,80,0.5
4324455,2.01506202334e+13,-76.96195,38.97419,KBWI,J2,17,246,0,80,0.5
4324488,2.01506202334e+13,-77.008,38.96965,KAKQ,T5,119,0,20,90,0.75
4324613,2.01506202335e+13,-76.97421,38.98884,KLWX,U8,24,88,30,90,1.25
4324720,2.01506202337e+13,-76.98742,38.98519,KIAD,M1,26,103,10,80,0.5
4324740,2.01506202337e+13,-77.3967,39.30683,KFCX,V7,193,44,-999,-999,-999.0
4324797,2.01506202337e+13,-76.98547,38.98527,KDOX,J3,73,278,30,90,0.75
4324841,2.01506202337e+13,-76.9877,38.98046,KDIX,N3,133,245,-999,-999,-999.0
4324924,2.01506202338e+13,-77.3934,39.31581,KDCA,Y1,39,329,10,90,0.75
4324973,2.01506202338e+13,-77.008,38.98634,KAKQ,T5,120,0,40,100,1.0
4325106,2.0150620234e+13,-76.95148,38.99828,KBWI,J2,16,250,30,70,1.0
4325119,2.0150620234e+13,-76.9757,39.00977,KLWX,U8,24,85,20,100,1.0
4325301,2.01506202341e+13,-76.96073,39.004,KDOX,J3,72,279,40,100,1.0
4325370,2.01506202342e+13,-76.96859,38.98794,KDIX,N3,132,245,-999,-999,-999.0
4325413,2.01506202342e+13,-76.96287,39.00271,KAKQ,T5,121,1,40,100,1.0
4325417,2.01506202342e+13,-76.95868,39.01215,KIAD,M1,27,99,0,90,0.5
4325554,2.01506202344e+13,-76.98996,39.00825,KDCA,F6,15,355,0,20,0.5
4325567,2.01506202344e+13,-76.93217,39.02486,KDCA,T1,16,5,10,20,0.75
4325638,2.01506202345e+13,-76.93498,39.02755,KLWX,U8,26,83,20,90,1.0
4325763,2.01506202345e+13,-76.95673,39.02473,KDOX,J3,72,280,30,100,1.0
4325823,2.01506202346e+13,-76.9384,39.02063,KBWI,J2,15,254,20,60,0.75
4325843,2.01506202346e+13,-77.39982,39.32534,KBGM,M0,184,201,-999,-999,-999.0
4325890,2.01506202347e+13,-76.92569,39.02831,KCCX,P5,124,156,30,100,0.75
4325912,2.01506202347e+13,-76.96249,39.0194,KAKQ,T5,122,1,40,100,1.0
4325930,2.01506202347e+13,-76.97102,39.02966,KDIX,N3,131,246,-999,-999,-999.0
4326159,2.01506202349e+13,-76.91642,39.04506,KLWX,U8,27,81,0,90,0.75
4326208,2.01506202349e+13,-76.93121,39.04249,KDOX,J3,71,281,50,100,1.0
4326275,2.0150620235e+13,-76.98737,39.04187,KDCA,F6,17,356,10,40,0.75
4326276,2.0150620235e+13,-76.91768,39.04044,KDCA,T1,17,7,40,40,1.0
4326419,2.01506202351e+13,-77.37947,39.33532,KAKQ,D1,142,353,-999,-999,-999.0
4326439,2.01506202351e+13,-76.91546,39.0518,KAKQ,T5,124,2,40,100,1.0
4326466,2.01506202352e+13,-76.90305,39.04831,KBWI,J2,13,259,10,20,0.75
4326488,2.01506202352e+13,-76.93245,39.0441,KDIX,N3,129,246,-999,-999,-999.0
4326501,2.01506202352e+13,-77.38231,39.34225,KCCX,N9,99,163,0,20,0.5
4326504,2.01506202352e+13,-76.92569,39.02831,KCCX,P5,124,156,30,100,1.0
4326585,2.01506202353e+13,-77.39007,39.33117,KDOX,B1,96,289,0,70,0.5
4326596,2.01506202353e+13,-76.90534,39.0596,KDOX,J3,70,282,30,90,0.75
4326624,2.01506202353e+13,-77.37773,39.3724,KBGM,M0,181,201,-999,-999,-999.0
4326703,2.01506202354e+13,-76.90078,39.07163,KLWX,U8,28,78,0,100,0.75
4326784,2.01506202354e+13,-76.95148,39.06685,KIAD,M1,27,92,0,50,0.5
4326848,2.01506202355e+13,-77.37327,39.32186,KPBZ,W6,150,118,-999,-999,-999.0
